TTL,2-Tel B.V
BUT,21ST CENTURY ENTERTAINMENT
TCM,3Com Corporation
TDP,3D Perception
VSD,3M
NOD,3NOD Digital Technology Co. Ltd.
NGS,A D S Exports
API,A Plus Info Corporation
ACG,A&R Cambridge Ltd.
APV,A+V Link
AVX,A/Vaux Electronics
AAN,AAEON Technology Inc.
TRU,Aashima Technology B.V.
AAM,Aava Mobile Oy
GEH,"Abaco Systems, Inc."
ABS,"Abaco Systems, Inc."
ABA,ABBAHOME INC.
MEG,Abeam Tech Ltd.
ATC,Ably-Tech Corporation
ABC,AboCom System Inc.
WTC,ACC Microelectronics
AWC,Access Works Comm Inc
PKA,Acco UK Ltd.
ACC,Accton Technology Corporation
ACU,Acculogic
ASL,AccuScene Corporation Ltd
ANT,Ace CAD Enterprise Company Ltd
CHE,Acer Inc
ALI,Acer Labs
ANX,Acer Netxus Inc
ACR,Acer Technologies
ACK,Acksys
ADC,Acnhor Datacomm
CAL,Acon
ALK,Acrolink Inc
ACM,Acroloop Motion Control Systems Inc
LAB,ACT Labs Ltd
ACE,Actek Engineering Pty Ltd
AEI,Actiontec Electric Inc
ACV,ActivCard S.A
ACB,Aculab Ltd
ALM,Acutec Ltd.
GLE,AD electronics
ADM,Ad Lib MultiMedia Inc
ADP,Adaptec Inc
ADX,Adax Inc
RSH,ADC-Centre
AVE,Add Value Enterpises (Asia) Pte Ltd
ADZ,ADDER TECHNOLOGY LTD
ADA,Addi-Data GmbH
ADI,ADI Systems Inc
DPM,ADPM Synthesis sas
AXB,Adrienne Electronics Corporation
ADT,Adtek
ADK,Adtek System Science Company Ltd
FLE,"ADTI Media, Inc"
AND,Adtran Inc
AGM,Advan Int'l Corporation
AVN,Advance Computer Corporation
MSM,Advanced Digital Systems
AED,"Advanced Electronic Designs, Inc."
RJS,Advanced Engineering
GRV,Advanced Gravis
AIR,Advanced Integ. Research Inc
ALR,Advanced Logic
ADV,Advanced Micro Devices Inc
EVE,Advanced Micro Peripherals Ltd
AOE,"Advanced Optics Electronics, Inc."
ADD,Advanced Peripheral Devices Inc
ABV,Advanced Research Technology
PSA,Advanced Signal Processing Technologies
AHC,"Advantech Co., Ltd."
ADH,Aerodata Holdings Ltd
AEP,Aetas Peripheral International
AET,Aethra Telecomunicazioni S.r.l.
CHS,Agentur Chairos
AGT,Agilent Technologies
ASI,Ahead Systems
AIM,AIMS Lab Inc
AYR,"Airlib, Inc"
AWL,"Aironet Wireless Communications, Inc"
AIW,Aiwa Company Ltd
AJA,"AJA Video Systems, Inc."
AKE,"AKAMI Electric Co.,Ltd"
AKB,Akebia Ltd
AKI,AKIA Corporation
ALH,AL Systems
ALA,Alacron Inc
ALN,Alana Technologies
AOT,Alcatel
ABE,Alcatel Bell
ADB,Aldebbaron
ALE,Alenco BV
ALX,"ALEXON Co.,Ltd."
AFA,Alfa Inc
ALO,Algolith Inc.
AGO,"AlgolTek, Inc."
AIS,Alien Internet Services
ABD,Allen Bradley Company
ALL,Alliance Semiconductor Corporation
